,Job ID,Title,Company,Location,Date,Description,Link
0,1,Data Management (IT Background) ,S International Logistic VN,"Quận Cầu Giấy, Hà Nội",25/06/2024,"RESPONSIBILITIES: Designing, developing, and implementing innovative RPA processes in getting data, generating reports, and mailing automation.Identifying and analyzing the improvements for the current process.Build, manage, and customize a program of MS Access, SQL data server following request from management.Providing a solution to any identified and potential risksAutomate tracking data input to the Cello system (FIS/VMS)Supporting Tracking teams in daily activitiesResponsible for setting up operational index and monitoringResponsible for understanding & gathering internal/external data to find the operational index Responsible for analyzing & identifying internal/external customer operation data to find Root-Causes, impacts, Opportunities, etc.) Responsible for finding insight and cooperating with the Tracking Center group to support developing    RPA task & designing detailed solution in terms of process efficiencies, the system required  Functionality enhancement, etc. for S.E.Asia subsidiariesQUALIFICATION:Bachelor's degree in IT. Fresher is acceptable.Able to communicate clear and concise instructions in a professional mannerGood problem-solving and decision-making skillsAble to work efficiently and multi-task with minimum supervisorFair English proficiency Proficient in computer applications: Power Automate, VBA, SQL, Power BI Tóm tắt yêu cầu công việc:Đang tìm các ứng viên có thể làm việc vào các ngày:Thứ hai: Sáng, ChiềuThứ ba: Sáng, ChiềuThứ tư: Sáng, ChiềuThứ năm: Sáng, ChiềuThứ sáu: Sáng, ChiềuYêu cầu 1 năm kinh nghiệm làm việc có liên quan cho vị trí nàyCần visa làm việc cho vị trí nàyNgày bắt đầu công việc: 25 July 2024Mức lương dự kiến: ₫8,000,000 - ₫15,000,000 cho mỗi tháng",https://www.jobstreet.vn/vi%E1%BB%87c/Data-Management-IT-c20bc1dbc1059998fa883bd7e3829a4f?abstract_type=original&fsv=true&sl=&sol_key=332a190158d41aa296a890587a43393d&sp=sserp_top&sponsored=true&sq=data+science&sr=1&tk=bkcW1xNHN9iRPXi8wT5F-OS_z3XOSh6USVxcP2PIR&trigger_source=serp
1,2,KỸ SƯ DỰ ÁN (DIGITAL TRANSFORMATION PE) ,ESEC,Hồ Chí Minh,13/06/2024,"KỸ SƯ DỰ ÁN (DIGITAL TRANSFORMATION PE)  Part time: ~6 tháng – 1 năm – SL: 01  Nơi làm việc: Số 77 Nguyễn Quý Đức, Phường An Phú, Tp Thủ Đức, Tp. HCM  Nhiệm vụ   Triển khai cấu hình, thiết kế, quản trị hệ thống PI System và các ứng dụng liên quan, bao gồm việc nâng cấp, bảo trì và chuyển giao hệ thống cho khách hàng.   Đảm bảo tính bảo mật, an ninh hệ thống.   Hỗ trợ Phòng Kinh Doanh khảo sát, tư vấn, thiết kế và lập đề xuất kỹ thuật   Tương tác, làm việc, hỗ trợ và chăm sóc khách hàng.   Tham gia các khóa đào tạo từ hãng, và đào tạo hướng dẫn cho các đồng nghiệp mới.  Yêu cầu   Trình độ Cao Đẳng, Đại Học chuyên ngành Công Nghệ Thông Tin, Khoa Học Máy Tính, hoặc tương đương.   Có kiến thức lập trình ứng dụng phần mềm/ lập trình Web dùng SDK, API, …   Có kinh nghiệm lập trình Python, Microsoft SQL, … là một lợi thế   Đọc hiểu, nghe tốt tài liệu, chương trình đào tạo bằng tiếng Anh   Đam mê công nghệ, ham học hỏi, có khả năng tự nghiên cứu   Chịu trách nhiệm với công việc, cần cù, chịu khó   Có thể làm việc nhóm và làm việc độc lập dưới áp lực cao.  Phúc lợi   12 ngày phép hàng năm   Trang bị công cụ làm việc phù hợp   Chương trình đào tạo chuyên môn & kỹ năng mềm   Môi trường làm việc chuyên nghiệp   Hoạt động Teambuilding, Year end party và các chương trình mang tính kết nối  Bạn gửi CV trực tiếp đến email **@esec.vn  ABOUT US:  Website: www.esec.vn  LinkedIn: www.linkedin.com/company/east-sea-energy-environment-esec  Facebook: www.facebook.com/esec.vn Tóm tắt yêu cầu công việc:Đang tìm các ứng viên có thể làm việc vào các ngày:Thứ hai: Sáng, ChiềuThứ ba: Sáng, ChiềuThứ tư: Sáng, ChiềuThứ năm: Sáng, ChiềuThứ sáu: Sáng, ChiềuThứ bảy: Sáng, ChiềuKhông yêu cầu kinh nghiệm làm việc cho vị trí nàyCần visa làm việc cho vị trí nàyNgày bắt đầu công việc: 01 July 2024Mức lương dự kiến: ₫8,000,000 - ₫12,000,000 cho mỗi tháng",https://www.jobstreet.vn/vi%E1%BB%87c/K%E1%BB%B9-S%C6%B0-D%E1%BB%B1-%C3%81n-f9530d7272cb81714366882d17fc2436?abstract_type=original&fsv=true&sl=&sol_key=0400583bf5d78604608e50174f9706de&sp=sserp_top&sponsored=true&sq=data+science&sr=2&tk=bkcW1xNHN9iRPXi8wT5F-OS_z3XOSh6USVxcP2PIR&trigger_source=serp
2,3,"[Khối Công Nghệ] Data Scientist (Data Analyst, Python)",ABBANK - Ngân Hàng TMCP An Bình,Hà Nội,05/07/2024,"Bằng cấp: - Tốt nghiệp hệ chính quy các Trường Đại học Chuyên ngành đào tạo: Công nghệ thông tin, Toán tin, Điện tử Viễn thông, Kỹ thuật ứng dụng, Khoa học Máy tính hoặc các lĩnh vực liên quan.- Chứng chỉ đào tạo về các công cụ, hệ thống liên quan đến Data Scientist.Kinh nghiệm: - Ít nhất 05 năm kinh nghiệm làm việc về Data Scientist, phân tích dữ liệu.- Kiến thức về lập trình, cấu trúc dữ liệu & giải thuật, lý thuyết đồ thị- Kiến thức về xác suất thống kê, đại số tuyến tính, giải tích- Kiến thức về phân tích khám phá dữ liệu (Exploratory Data Analysis - EDA)- Kiến thức về học máy (machine learning), học máy chuyên sâu (deep learning), các kỹ thuật học máy (gradient boosted trees, random forest, ....)- Kiến thức về xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark, Elastic Search...)- Kiển thức về các loại CSDL (RDBMS, Graph Databases, NoSQL Products, ...)- Kỹ năng sử dụng ngôn ngữ lập trình (R, Python, Java, Scala, ...), SQL- Kỹ năng sử dụng thành thạo một trong các package học máy (scikit-learn, Caffe, Theano, Pylearn2, DeepPy, TensorFlow, Keras, H2O, ...)- Kỹ năng sử dụng các công cụ trực quan hóa dữ liệu, đánh giá mô hình",https://www.jobstreet.vn/vi%E1%BB%87c/Kh%E1%BB%91i-C%C3%B4ng-Ngh%E1%BB%87-4cb1813cc6e8221c8cdecae1fb0c3598?abstract_type=original&fsv=true&sl=&sol_key=78c5de41100cdbac7db8c618750494fc&sol_srt=368a9bc5-6925-46a2-8c0a-180e3706b05e&sp=serp&sponsored=false&sq=data+science&sr=1&tk=bkcW1xNHN9iRPXi8wT5F-OS_z3XOSh6USVxcP2PIR&trigger_source=serp
3,4,"Data Scientist (Data Analyst, Python)",ITviec,Hà Nội,26/06/2024,"Top 3 reasons to join usLương/ thưởng hấp dẫnCơ hội thăng tiến nghề nghiệp caoMôi trường làm việc thân thiện, năng độngJob descriptionĐề xuất bài toán cho các đơn vị, nghiệp vụ, kinh doanh để khai thác tối đa ""giá trị"" từ dữ liệu.Thiết kế và triển khai các giải pháp phân lớp/dự báo đáp ứng mục tiêu kinh doanh.Lựa chọn phương pháp tối ưu, xây dựng thuật toán, kiểm tra và triển khai các mô hình để đáp ứng được các mục tiêu kinh doanh.Sử dụng các kĩ thuật học máy (cluster analysis, decision trees, random forest, neural networks, logistics regression) để xây dựng các mô hình toán học phục vụ các bài toán kinh doanh.Xác định các phương pháp phù hợp để xây dựng nguồn cung cấp dữ liệu cho các bài toán học máy bao gồm các phương pháp mô phỏng (bootstrap, monte carlo, bagging methods), học máy và xác suất thống kê.Kiểm tra hiệu năng, độ chính xác của các mô hình học máy.  Your skills and experienceBằng cấp: Tốt nghiệp hệ chính quy các Trường Đại học Chuyên ngành đào tạo: Công nghệ thông tin, Toán tin, Điện tử Viễn thông, Kỹ thuật ứng dụng, Khoa học Máy tính hoặc các lĩnh vực liên quan.Chứng chỉ đào tạo về các công cụ, hệ thống liên quan đến Data Scientist.Kinh nghiệm:  Ít nhất 05 năm kinh nghiệm làm việc về Data Scientist, phân tích dữ liệu.Kiến thức về lập trình, cấu trúc dữ liệu & giải thuật, lý thuyết đồ thịKiến thức về xác suất thống kê, đại số tuyến tính, giải tíchKiến thức về phân tích khám phá dữ liệu (Exploratory Data Analysis - EDA)Kiến thức về học máy (machine learning), học máy chuyên sâu (deep learning), các kỹ thuật học máy (gradient boosted trees, random forest, ....)Kiến thức về xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark, Elastic Search...)Kiển thức về các loại CSDL (RDBMS, Graph Databases, NoSQL Products, ...)Kỹ năng sử dụng ngôn ngữ lập trình (R, Python, Java, Scala, ...), SQLKỹ năng sử dụng thành thạo một trong các package học máy (scikit-learn, Caffe, Theano, Pylearn2, DeepPy, TensorFlow, Keras, H2O, ...)Kỹ năng sử dụng các công cụ trực quan hóa dữ liệu, đánh giá mô hìnhKỹ năng khác:Xây dựng báo cáo tổng quan về xu thế dữ liệu, dữ liệu Exception, dữ liệu bất thường (outlier).Nghiên cứu, thiết kế, cài đặt và tối ưu các thuật toán, công nghệ học máy.Xây dựng, phát triển các công cụ biến đổi dữ liệu, làm sạch dữ liệu.Kỹ năng phân tích và xử lý các vấn đề kỹ thuật phức tạp, cung cấp các giải pháp khả thi và kịp thời.Kỹ năng giao tiếp và làm việc nhóm hiệu quả khi làm việc với nhiều nhóm chức năng khác nhau.Kỹ năng giao tiếp tốt và khả năng trình bày ý tưởng một cách rõ ràng và dễ hiểu.Chú trọng triển khai theo Agile với sự sẵn sàng học hỏi và phát triển từ kinh nghiệm.Why you'll love working hereLương và phúc lợi hấp dẫn:Mức lương cạnh tranh, phản ánh trực tiếp kỹ năng và kinh nghiệm của ứng viên (chi tiết sẽ được thảo luận trong buổi phỏng vấn)13 ngày nghỉ phép linh hoạt, bao gồm ngày sinh nhật và các dịp quan trọng khácBảo hiểm đầy đủ theo luật lao động, cùng với ABBANK CARE - chương trình phúc lợi bổ sung đặc biệt dành cho ABBankersLãi suất vay ưu đãi - Quyền lợi đặc biệt dành cho nhân viên ABBANKCơ hội phát triển nghề nghiệp hấp dẫn:Gia nhập các dự án chuyển đổi quy mô lớn, cộng tác cùng các chuyên gia hàng đầu để áp dụng công nghệ mới nhất trong ngành ngân hàngLộ trình phát triển sự nghiệp rõ ràng, được tạo điều kiện cho cả sự phát triển kỹ thuật và quản lýHỗ trợ đào tạo và chứng chỉ trong lĩnh vực IT, ngân hàng/tài chínhMôi trường làm việc năng động:Mô hình làm việc linh hoạt, trẻ trung, khuyến khích đổi mới và sáng tạoVăn phòng được trang bị hiện đại, kèm theo các thiết bị tiên tiến nhất dành cho nhân viênTổ chức thường xuyên các hoạt động ngoại khóa (team building, hội thảo, và các sự kiện văn nghệ), tạo điều kiện cho nhân viên gắn kết và phát triển",https://www.jobstreet.vn/vi%E1%BB%87c/Data-Scientist-Data-2d17e06469a36944811e39195c7687c7?abstract_type=original&fsv=true&sl=&sol_key=6dd2248b8c101e69e0e9e51bc337568f&sol_srt=368a9bc5-6925-46a2-8c0a-180e3706b05e&sp=serp&sponsored=false&sq=data+science&sr=2&tk=bkcW1xNHN9iRPXi8wT5F-OS_z3XOSh6USVxcP2PIR&trigger_source=serp
4,5,[AY 24-25] Faculty of Data Science,VIN UNIVERSITY,Việt Nam,05/07/2024,"ABOUT VINUNIVERSITY VinUniversity (VinUni: https://vinuni.edu.vn/) is the first private, not-for-profit Vietnamese university established based on international standards. The university integrates the models of excellent international universities with the unique cultural and economic characteristics of Vietnam, to make a breakthrough in Vietnamese higher education and to become a world-class university. VinUni has strategic collaborations with the world’s leading universities, including Cornell University and the University of Pennsylvania. These universities have become close advisors and crucial enablers in establishing the four colleges at VinUni: College of Arts and Sciences, College of Business and Management, College of Engineering and Computer Science, and College of Health Sciences. Every aspect of the University: its curricula, research, faculty, student body, facilities, and campus life, is being developed to meet the highest standards set by the world’s leading accrediting and ranking organizations, such as ABET, AACSB, Quacquarelli Symonds (QS) and Times Higher Education (THE).VinUni’s founding benefactor Vingroup is one of the biggest private conglomerates in Asia with the largest market capitalization value in Vietnam. As a multisector corporation, Vingroup focuses on three main areas: Technology; Industrials; and Property Services. VinUni is proud to be a part of the Vingroup ecosystem, giving its students opportunities to connect with several high quality research institutes (such as VinAI, and VinBigData), pioneering industrial enterprises (such as VinFast), and leading Vietnamese companies (such as Vinpearl, Vincom Retail, Vinmec, and Vinhomes).THE COLLEGE OF ENGINEERING & COMPUTER SCIENCE VinUniversity offers competitive international salaries, a world-class infrastructure, a dedicated international senior management and academic team, excellent benefits, and support for junior and mid-career faculty with a diverse range of exciting, cross-disciplinary research projects.Through excellence in academics, research, and innovation, the College of Engineering and Computer Science (CECS) aims to create a generation of young leaders with the qualities, skills, and knowledge needed to lead the development of science and technology, to increase productivity, and bring about radical innovations for the benefit of society.With a curriculum certified by VinUniversity’s founding partner Cornell University, advanced infrastructure, and modern pedagogical approaches, CECS offers Bachelor of Science degree programs in four majors: Electrical Engineering, Mechanical Engineering, Computer Science, and Data Science. In addition, CECS starts a PhD program in Computer Science in the fall semester of the academic year 2021-2022.All faculty members are provided with an annual personal development fund for scholarly activities such as attending conferences, hiring research assistants, and buying research equipment. Faculty members can also apply for internal seed grants and have numerous opportunities to collaborate with researchers and engineers from the Vingroup ecosystem, such as VinBigData, VinAI, VinBrain, Vinmec, Vinhomes, Vincom Retail, Vinpearl and VinFast. These connections are an excellent source of large, real-world data sets as well as applied problems.Research at CECS is being built on international collaborations and is geared towards addressing three main global challenges in a local context, in the areas of health, energy, and artificial intelligence. The Smart Health Center is a large $13.5M project in partnership with the University of Illinois at Urbana-Champaign that focuses on the challenges and opportunities in modern healthcare systems, including big data analytics, medical image processing, 3D printing for biomedical, security, privacy protection, and others. We plan to develop similar well-funded, international, large research projects in:Materials science, including polymers and organic solids, metal-organic frameworks, digital materials science.Low-resource, robust, multi-language natural language processing and applications in science, tourism, health, education, and digital humanities.Smart energy, smart cities, sustainability, resilience and disaster mitigation, and climate change.For more information, please visit the CECS website: https://vinuni.edu.vn/college-of-engineering-computer-science/The College of Engineering and Computer Science at VinUniversity is recruiting a faculty member in the following areas, track and ranks:Areas of interest: The position is open to all areas of Data Science; for instance, Machine Learning and AI, Big Data Analytics, Statistical Modeling, Data Visualization, Data Security, Cloud Computing, Applied Data Science in Healthcare and Environment, Data Engineering, Predictive Analytics, and Computational Social Science.Track: Research and Teaching.Ranks: Professor/Associate Professor/Assistant Professor.All qualified applicants will receive full consideration for employment without regard to race, color, religion (creed), gender, gender expression, age, national origin (ancestry), disability, marital status, sexual orientation, or military status.POSITION RESPONSIBILITIES The CECS faculty members will be responsible for three primary responsibilities:Teaching: Develop and instruct classes, provide academic advising, and participate in developing the programs and curriculum that meet the ABET’s quality standards.Research: Supervise student research, perform original research, and publish scientific findings in top venues with high citations.Service: Assist with recruitment, admission, service to the university, profession, and community.The workload allocation will be based on faculty ranking and faculty track aligned with generally accepted international standards and practices at universities.COMPENSATIONThe salary benefits are internationally competitive and commensurate with qualifications and experience.LIVING AND WORKING IN HANOI, VIETNAMWork permit: VinUniversity will assist in and provide advice for obtaining the necessary paperwork needed for employment in Vietnam (visa, work permit, insurance, etc.). However, it is your responsibility to ensure that you can satisfy all the paper requirements in a timely manner.According to Vietnamese Law, expatriates are required to submit all necessary documents for a work permit on the first day in Vietnam. For more information about the necessary documents, please refer to the information in this link.Living costs: Vietnam has a comparatively low cost of living and expatriates can live a very comfortable life here with a moderate expenditure.KEY SELECTION CRITERIA Have a doctorate degree in related fields from established prestigious universities.Have a strong knowledge of the subject area combined with a broad subject background enabling contributions to teaching programs.Have good experience in experiential learning methods such as TBL (Team-based Learning), PBL (Project-based Learning), ABL (Action-based Learning) and can successfully employ them in all courses.Have a strong record of research accomplishments or potential for future accomplishments.Have a high spirit and strong passion for education; demonstrate distinction and/or strong potential in research; be agile to embrace changes and take on new challenges; be open-minded to new and different environments; be a team-player willing to contribute to organizational goals and initiatives.Excellent written and verbal communication skills in English.HOW TO APPLYPlease submit a cover letter, a resume and a list of two references.We thank all applicants for their interest. Please note that only those candidates selected for interviews will be contacted.",https://www.jobstreet.vn/vi%E1%BB%87c/AY-24-25-05d427eaaa2aac137bf3fb1d8e423853?abstract_type=original&fsv=true&sl=&sol_key=2392c728632a6220dfc26f03c7dd1c42&sol_srt=368a9bc5-6925-46a2-8c0a-180e3706b05e&sp=serp&sponsored=false&sq=data+science&sr=3&tk=bkcW1xNHN9iRPXi8wT5F-OS_z3XOSh6USVxcP2PIR&trigger_source=serp
5,6,Data Science Assistant Manager (Modelling),Công ty Tài Chính TNHH MTV Home Credit Việt Nam,Hồ Chí Minh,04/07/2024,"Mô tả công việc: (Mức lương: Thỏa thuận)- Responsible for independent development or validation of risk models (including antifraud, underwriting and collection models) as well CRM models and challenging current approaches to machine learning model development​- Create datasets used for development or validation, ensure samples are representative of production population and data are in good quality​- Creative feature engineering...Chức vụ: Trưởng nhóm/Trưởng phòngHình thức làm việc: Toàn thời gianQuyền lợi được hưởng:13th Salary Fixed and KPI BonusPremium Health Care for employees (personal/family dependents)15/18 Annual LeavesYêu cầu bằng cấp (tối thiểu): Trung cấp - NghềYêu cầu công việc:- English proficiency is a MUST- Experience with SQL (Oracle, Spark)​- Experience with Python data science stack (such as numpy, pandas, scikit-learn, xgboost, etc.)​- Experience with machine learning – practical experience as well as theoretical background​- Experience with code versioning in Git​- Proactive approach, ability to work autonomously​Yêu cầu giới tính: Nam/NữNgành nghề: CNTT - Phần Mềm,Data Analytics,Data Warehouse",https://www.jobstreet.vn/vi%E1%BB%87c/Data-Science-Assistant-Manager-66c880da6e97537f0aafeb2de90fc49e?abstract_type=original&fsv=true&sl=&sol_key=715f2d40593384317a00a3af4e7d1334&sol_srt=368a9bc5-6925-46a2-8c0a-180e3706b05e&sp=serp&sponsored=false&sq=data+science&sr=4&tk=bkcW1xNHN9iRPXi8wT5F-OS_z3XOSh6USVxcP2PIR&trigger_source=serp
6,7,Data Analyst Sql/Python,TẬP ĐOÀN VINGROUP - CÔNG TY TNHH DỊCH VỤ VÀ KINH DOANH VINFAST (VINFAST SERVICE),Hà Nội,07/07/2024,"Mô tả công việc: (Mức lương: Thỏa thuận)Top 3 Reasons To Join UsThe JobJOB DESCRIPTION· Advise and provide business with insights from ecosystem in manufacturing industry to meet specific business objectives.· Build data solutions using data lake, data warehouse, data mining, data visualization and statistical analysis techniques, to create solutions that enable enhanced business performance.RESPONSIBILITIES· Understand stakeholder's requirements, analyze data from ecosystem in manufacturing industry and then propose the solution to meet their specific goals.· Obtain and integrate data from various sources into the centralized AWS cloud platform.· Ensure data assets are organized and stored in an efficient way so that information is easy to access and retrieve.· Develop Dashboard/ analytical reports to communicate the performance metrics to stakeholders effectively.· Proficiency in data visualization tools (Power BI, Tableau, QuickSight, etc.)· Collaborate with data engineer team to ensure data accuracy and put high commitment for data quality improvement.· Stay up to date with industry trends, and emerging technologies in data analysis to drive innovation and enhance analytical capabilities.· Highly motivated and customer-oriented mindsetYour Skills and ExperienceQUALIFICATION AND EXPERIENCES· Bachelor's/ master's degree in business information system, information technology, computer science, accounting, or economics.· At least 5 years of relevant experience in areas of data analysis, designing & building dimensional data models, ETL processes, data warehouse concepts and methodologies.· At least 3 full cycles of data warehouse, data analysis implementation projects· Experience in querying databases and using programming languages (SQL, Python, R, etc.) and cloud environments (AWS, Azure, Google Cloud, etc.)· Familiarity with SAP would be a big advantage.· Proven experience as data analyst in manufacturing industry is a plus.· Knowledge of data governance & data quality is a plus.· Experience monitoring complex systems and solving data and systems issues having a consistent and algorithmic approach to resolving them.· Demonstrated ability to lead the team and work with minimal supervision.· Understanding of agile principles, practices, and scrum methodologies.Why You'll Love Working HereSalary is attractive and commensurates with competencePremium health insurance / Social insurance as required by law13 months of salary + and many other side benefits such as lunch allowance, healthcare program, annual health-screen, sport activities..Special discounts on Vingroup eco-system's productsChức vụ: Nhân viên/Chuyên viênHình thức làm việc: Toàn thời gianQuyền lợi được hưởng:Salary is attractive and commensurates with competencePremium health insurance / Social insurance as required by law13 months of salary + and many other side benefits such as lunch allowance, healthcare program, annual health-screen, sport activities..Special discounts on Vingroup eco-system's productsYêu cầu bằng cấp (tối thiểu): Đại HọcYêu cầu công việc:MySQL, SAPYêu cầu giới tính: Nam/NữNgành nghề: CNTT - Phần Mềm,Data Analytics,SQL",https://www.jobstreet.vn/vi%E1%BB%87c/Data-Analyst-baf3205a991b8cbff64a21117c3cda9c?abstract_type=original&fsv=true&sl=&sol_key=ad7e75fa799e684163102d6b864db415&sol_srt=368a9bc5-6925-46a2-8c0a-180e3706b05e&sp=serp&sponsored=false&sq=data+science&sr=5&tk=bkcW1xNHN9iRPXi8wT5F-OS_z3XOSh6USVxcP2PIR&trigger_source=serp
7,8,"Director, Data Science (40000028)",Techcombank,Hà Nội,27/06/2024,"Qualifications- Master’s or PhD degree in Statistics, Mathematics, Quantitative Analysis, Computer Science, Software Engineering, Information - Technology or any other Numerical disciplines Work Experience - 12+ years of relevant experience in areas of data analysis, machine learning, deep learning model development on large amount of data, implementing and deploying various statistical models, 4+ years of people management experience. - English proficiency requirements are pursuant to Techcombank's policy - Deep experience in querying databases and using programming languages (e.g. Python, spark, TensorFlow, scala, sql, C, C++, Java) - Extensive experience in building data and analytics solutions, data mining, statistical model building, predictive modeling - Experience in application of machine learning and AI to questions related to tech and finance industry - Experience in providing fact-based insights to help senior management and other stakeholders realize enterprise value at scale - Deep experience in Agile Software Development and has mastery of Agile principles, practices and Scrum methodologies - Experience working in Agile teams to lead successful digital transformation projects, involved in the end-to-end planning to implementation ",https://www.jobstreet.vn/vi%E1%BB%87c/Director-fcfc2bc29c12cdf3ef216951b995be02?abstract_type=original&fsv=true&sl=&sol_key=2ef46861609a744792a07b54a5426299&sol_srt=368a9bc5-6925-46a2-8c0a-180e3706b05e&sp=serp&sponsored=false&sq=data+science&sr=6&tk=bkcW1xNHN9iRPXi8wT5F-OS_z3XOSh6USVxcP2PIR&trigger_source=serp
8,9,Data Scientist,Công Ty TNHH LP Technology,Hà Nội,19/06/2024,"Mô tả công việc: (Mức lương: 10 - 30 triệu VNĐ)Responsibilities· -Manipulating data over the entire data pipelines (data cleaning, normalization, enrichment, transformation and features engineering.)· -Performing Exploratory Data Analysis/Data Discovery to understand the business meaning of the data and some relevant pattern. Result shall be presented in a clear and easy to understand manner.· -Build and evaluation of predictive analytics models using state-of-the-art data mining techniques and machine-learning algorithms· -Provide strategic ideas and analytics concept to understand customer insights from their data.· -Work closely with Data Engineering team to build, deploy and maintain data models on our company’s infrastructure.· -Propose solutions and strategies to business challenges.Chức vụ: Nhân Viên/Chuyên ViênHình thức làm việc: Toàn thời gianQuyền lợi được hưởng:Benefits· -Joining LP Tech, you will have great opportunity to work with young, friendly & smart people· -Attractive remuneration package (competitive salary, bonus)· -Salary review twice a year· -Social Insurance, Health insurance, Unemployment insurance in accordance with Vietnam Labor Law· -12 Annual Leaves· -Complete & professional working procedures & policies· -Flexible training programs· -Company trip, Teambuilding programs and other interesting activitiesYêu cầu bằng cấp (tối thiểu): Đại HọcYêu cầu công việc:Requirements· -Bachelor degree in Statistic/Math/Information Technology/Computer Science/Applied Science/Quantitative Economics/Banking & Finance.· -At least 1 year of industrial experience (for Junior level), 2 years (for Middle level), with demonstrable record of utilising Data Science techniques to deliver solid business impact.· -Experience with common data science programming language and toolkits: either Python (pandas, numpy, sklearn) or R (dplyr, ggplot, caret).· - Proficiency in using SQL for data queries and manipulation.· -Understanding of basic machine learning algorithms: linear/logistic regression, decision tree, kmeans, neural net, support vector machine, ensemble of multiple models, etc.· -Ability to work under pressure· Business proficiency in English language skills is a must (TOEIC >700 or equivalent)The following quality is a plus:· -Computer Science fundamentals and programming (data structures, algorithms, computability and complexity, computer architecture, etc.)· -Strong background in math: linear algebra, multivariate calculus, probability and statistic, optimization· -Experience and skills in Big Data analytics (Hadoop, Spark).· -Experience with Cloud storage and computation ecosystem (Amazon EC2, S3, EMR).Yêu cầu giới tính: Nam/NữNgành nghề: Triển Khai Phần Mềm,Điện Lạnh",https://www.jobstreet.vn/vi%E1%BB%87c/Data-Scientist-b978a85047a3b1704d473698a41e999d?abstract_type=original&fsv=true&sl=&sol_key=59c6071f615566a377079b85928f50a2&sol_srt=368a9bc5-6925-46a2-8c0a-180e3706b05e&sp=serp&sponsored=false&sq=data+science&sr=7&tk=bkcW1xNHN9iRPXi8wT5F-OS_z3XOSh6USVxcP2PIR&trigger_source=serp
9,10,Senior Data Scientist (NLP/GenAI),ITviec,Hà Nội,03/07/2024,"Top 3 reasons to join usMôi trường đẩy nhanh phát triển năng lực Nơi quy tụ nhân tài người Việt trên toàn cầuVăn hóa thành công, đề cao sáng kiếnJob descriptionResponsibilitiesResearch & develop solutions to various natural language processing problems that arise from business operations such as: Generative AI Chatbot, Semantic and Personalized Search, Transformers-based Recommendation, Name Entity Recognition, High Quality Text Mapping and Auto Tagging,…Package solutions into services/products that can be offered internally and externally to support organizational goals. Provide support and maintenance for the above services/products.Write documentation to ensure reproducibility and service continuity. Stay on top of the SOTA in Natural Language Understanding (NLU), Natural Language Generation and other areas related to NLP and quickly implement/adapt new SOTA models for in-house datasets and presentMentor and train junior members.Your skills and experienceKey Skills3+ years of relevant experience working in natural language processing, machine learning, and analytics projects.Advanced knowledge of transformers architectures, sentence embedding techniques, and large language modelsProficient in Python, SQL and deep learning frameworks, such as Pytorch, Tensorflow,...Familiarity with frameworks for developing RAG system like Langchain, LlamaIndexAbility to read, understand and apply techniques from academic papers. Ability to quickly develop prototypes from ideas, and then package it into data service/product for other teams.Write clear documentation.Individual SkillsCollaborate effectively with others.Ability to engage and influence technology and business leaders through clear communication.Strategic mindset and able to work through ambiguity, proactive in getting things done.Strive for results, passionate about data, analytics, innovation and making a difference.English and Vietnamese.Why you'll love working hereBENEFIT AND PERKSSalary & Allowances13-month salary with annual performance bonus, project incentives, sales incentives (based on position)Lunch allowance: 730.000 VND/monthSpecial occasion bonus: 3.500.000 - 5.000.000 VND/yearAnnual leaves: Up to 20 days/year (based on levels)Health: Social insurance, PVI premium, yearly health check at VinmecVacation: 3-5 nights at Vinpearl per year (based on levels)Education: 10% - 30% tuition fee deduction for children at VinSchool (based on levels)Laptop, screen and other needed facilities/accounts/tools for workCareer GrowthYearly salary review and promotionDiverse career path: Management or Expert and functions rotation opportunityFree learning sources in Udemy, Coursera, O'relly platforms; internal workshop, certification sponsorship, and exclusive mentoring from C-levelsRecognition and awards at team and organizational levels.Working EnvironmentOpen & collaborative working space foster both individual focus and teamwork activitiesYoung, dynamic, and collaborative working atmosphereUnwind zones: gaming, table tennis, yoga, gyms, bath rooms, sleep corner.Quarterly/yearly teambuilding & engaged internal events.",https://www.jobstreet.vn/vi%E1%BB%87c/Senior-Data-Scientist-08a26e787ff40e9ed598710c7877c4c4?abstract_type=original&fsv=true&sl=&sol_key=e28c698074a087dd50599ca063bf35b8&sol_srt=368a9bc5-6925-46a2-8c0a-180e3706b05e&sp=serp&sponsored=false&sq=data+science&sr=8&tk=bkcW1xNHN9iRPXi8wT5F-OS_z3XOSh6USVxcP2PIR&trigger_source=serp
